Scenario,N_Effective,Score_Scale_Max,Confidence_Level,Raw_Score,Score_Percent,Lower_Limit_Percent,Upper_Limit_Percent
WW_50,50,50,0.8,22,44,32,56
WW_50,50,50,0.8,23,46,34,58
WW_50,50,50,0.8,24,48,36,60
WW_50,50,50,0.8,25,50,38,62
WW_50,50,50,0.8,26,52,40,64
WW_50,50,50,0.8,27,54,42,66
WW_50,50,50,0.8,28,56,44,68
WW_50,50,50,0.8,29,58,46,70
WW_50,50,50,0.8,30,60,48,72
WW_50,50,50,0.8,31,62,50,72
WW_50,50,50,0.8,32,64,52,74
WW_50,50,50,0.8,33,66,54,76
WW_50,50,50,0.8,34,68,56,78
WW_50,50,50,0.8,35,70,58,80
WW_50,50,50,0.8,36,72,60,82
WW_50,50,50,0.8,37,74,64,84
WW_50,50,50,0.8,38,76,66,84
WW_50,50,50,0.8,39,78,68,86
WW_50,50,50,0.8,40,80,70,88
WW_50,50,50,0.8,41,82,72,90
WW_50,50,50,0.8,42,84,74,92
WW_50,50,50,0.8,43,86,78,92
WW_50,50,50,0.8,44,88,80,94
WW_50,50,50,0.8,45,90,82,96
WW_50,50,50,0.8,46,92,84,96
WW_50,50,50,0.8,47,94,88,98
WW_50,50,50,0.8,48,96,90,98
WW_50,50,50,0.8,49,98,94,100
WW_50,50,50,0.8,50,100,98,100
Phoneme_25,62.5,75,0.8,0,0,0,1.3
Phoneme_25,62.5,75,0.8,1,1.3,0,5.3
Phoneme_25,62.5,75,0.8,2,2.7,1.3,6.7
Phoneme_25,62.5,75,0.8,3,4,1.3,9.3
Phoneme_25,62.5,75,0.8,4,5.3,1.3,10.7
Phoneme_25,62.5,75,0.8,5,6.7,2.7,13.3
Phoneme_25,62.5,75,0.8,6,8,4,14.7
Phoneme_25,62.5,75,0.8,7,9.3,4,16
Phoneme_25,62.5,75,0.8,8,10.7,5.3,18.7
Phoneme_25,62.5,75,0.8,9,12,6.7,20
Phoneme_25,62.5,75,0.8,10,13.3,6.7,21.3
Phoneme_25,62.5,75,0.8,11,14.7,8,22.7
Phoneme_25,62.5,75,0.8,12,16,9.3,24
Phoneme_25,62.5,75,0.8,13,17.3,10.7,26.7
Phoneme_25,62.5,75,0.8,14,18.7,10.7,28
Phoneme_25,62.5,75,0.8,15,20,12,29.3
Phoneme_25,62.5,75,0.8,16,21.3,13.3,30.7
Phoneme_25,62.5,75,0.8,17,22.7,14.7,32
Phoneme_25,62.5,75,0.8,18,24,16,33.3
Phoneme_25,62.5,75,0.8,19,25.3,17.3,34.7
Phoneme_25,62.5,75,0.8,20,26.7,17.3,36
Phoneme_25,62.5,75,0.8,21,28,18.7,38.7
Phoneme_25,62.5,75,0.8,22,29.3,20,40
Phoneme_25,62.5,75,0.8,23,30.7,21.3,41.3
Phoneme_25,62.5,75,0.8,24,32,22.7,42.7
Phoneme_25,62.5,75,0.8,25,33.3,24,44
Phoneme_25,62.5,75,0.8,26,34.7,25.3,45.3
Phoneme_25,62.5,75,0.8,27,36,26.7,46.7
Phoneme_25,62.5,75,0.8,28,37.3,28,48
Phoneme_25,62.5,75,0.8,29,38.7,28,49.3
Phoneme_25,62.5,75,0.8,30,40,29.3,50.7
Phoneme_25,62.5,75,0.8,31,41.3,30.7,52
Phoneme_25,62.5,75,0.8,32,42.7,32,53.3
Phoneme_25,62.5,75,0.8,33,44,33.3,54.7
Phoneme_25,62.5,75,0.8,34,45.3,34.7,56
Phoneme_25,62.5,75,0.8,35,46.7,36,57.3
Phoneme_25,62.5,75,0.8,36,48,37.3,58.7
Phoneme_25,62.5,75,0.8,37,49.3,38.7,60
Phoneme_25,62.5,75,0.8,38,50.7,40,61.3
Phoneme_25,62.5,75,0.8,39,52,41.3,62.7
Phoneme_25,62.5,75,0.8,40,53.3,42.7,64
Phoneme_25,62.5,75,0.8,41,54.7,44,65.3
Phoneme_25,62.5,75,0.8,42,56,45.3,66.7
Phoneme_25,62.5,75,0.8,43,57.3,46.7,68
Phoneme_25,62.5,75,0.8,44,58.7,48,69.3
Phoneme_25,62.5,75,0.8,45,60,49.3,70.7
Phoneme_25,62.5,75,0.8,46,61.3,50.7,72
Phoneme_25,62.5,75,0.8,47,62.7,52,72
Phoneme_25,62.5,75,0.8,48,64,53.3,73.3
Phoneme_25,62.5,75,0.8,49,65.3,54.7,74.7
Phoneme_25,62.5,75,0.8,50,66.7,56,76
Phoneme_25,62.5,75,0.8,51,68,57.3,77.3
Phoneme_25,62.5,75,0.8,52,69.3,58.7,78.7
Phoneme_25,62.5,75,0.8,53,70.7,60,80
Phoneme_25,62.5,75,0.8,54,72,61.3,81.3
Phoneme_25,62.5,75,0.8,55,73.3,64,82.7
Phoneme_25,62.5,75,0.8,56,74.7,65.3,82.7
Phoneme_25,62.5,75,0.8,57,76,66.7,84
Phoneme_25,62.5,75,0.8,58,77.3,68,85.3
Phoneme_25,62.5,75,0.8,59,78.7,69.3,86.7
Phoneme_25,62.5,75,0.8,60,80,70.7,88
Phoneme_25,62.5,75,0.8,61,81.3,72,89.3
Phoneme_25,62.5,75,0.8,62,82.7,73.3,89.3
Phoneme_25,62.5,75,0.8,63,84,76,90.7
Phoneme_25,62.5,75,0.8,64,85.3,77.3,92
Phoneme_25,62.5,75,0.8,65,86.7,78.7,93.3
Phoneme_25,62.5,75,0.8,66,88,80,93.3
Phoneme_25,62.5,75,0.8,67,89.3,81.3,94.7
Phoneme_25,62.5,75,0.8,68,90.7,84,96
Phoneme_25,62.5,75,0.8,69,92,85.3,96
Phoneme_25,62.5,75,0.8,70,93.3,86.7,97.3
Phoneme_25,62.5,75,0.8,71,94.7,89.3,98.7
Phoneme_25,62.5,75,0.8,72,96,90.7,98.7
Phoneme_25,62.5,75,0.8,73,97.3,93.3,98.7
Phoneme_25,62.5,75,0.8,74,98.7,94.7,100
Phoneme_25,62.5,75,0.8,75,100,98.7,100
Phoneme_50,125,150,0.8,0,0,0,0.7
Phoneme_50,125,150,0.8,1,0.7,0,2.7
Phoneme_50,125,150,0.8,2,1.3,0.7,3.3
Phoneme_50,125,150,0.8,3,2,0.7,4.7
Phoneme_50,125,150,0.8,4,2.7,0.7,5.3
Phoneme_50,125,150,0.8,5,3.3,1.3,6.7
Phoneme_50,125,150,0.8,6,4,2,7.3
Phoneme_50,125,150,0.8,7,4.7,2,8.7
Phoneme_50,125,150,0.8,8,5.3,2.7,9.3
Phoneme_50,125,150,0.8,9,6,3.3,10
Phoneme_50,125,150,0.8,10,6.7,3.3,10.7
Phoneme_50,125,150,0.8,11,7.3,4,12
Phoneme_50,125,150,0.8,12,8,4.7,12.7
Phoneme_50,125,150,0.8,13,8.7,4.7,13.3
Phoneme_50,125,150,0.8,14,9.3,5.3,14
Phoneme_50,125,150,0.8,15,10,6,15.3
Phoneme_50,125,150,0.8,16,10.7,6.7,16
Phoneme_50,125,150,0.8,17,11.3,7.3,16.7
Phoneme_50,125,150,0.8,18,12,7.3,17.3
Phoneme_50,125,150,0.8,19,12.7,8,18
Phoneme_50,125,150,0.8,20,13.3,8.7,18.7
Phoneme_50,125,150,0.8,21,14,9.3,20
Phoneme_50,125,150,0.8,22,14.7,10,20.7
Phoneme_50,125,150,0.8,23,15.3,10,21.3
Phoneme_50,125,150,0.8,24,16,10.7,22
Phoneme_50,125,150,0.8,25,16.7,11.3,22.7
Phoneme_50,125,150,0.8,26,17.3,12,23.3
Phoneme_50,125,150,0.8,27,18,12.7,24
Phoneme_50,125,150,0.8,28,18.7,13.3,25.3
Phoneme_50,125,150,0.8,29,19.3,14,26
Phoneme_50,125,150,0.8,30,20,14,26.7
Phoneme_50,125,150,0.8,31,20.7,14.7,27.3
Phoneme_50,125,150,0.8,32,21.3,15.3,28
Phoneme_50,125,150,0.8,33,22,16,28.7
Phoneme_50,125,150,0.8,34,22.7,16.7,29.3
Phoneme_50,125,150,0.8,35,23.3,17.3,30
Phoneme_50,125,150,0.8,36,24,18,30.7
Phoneme_50,125,150,0.8,37,24.7,18.7,31.3
Phoneme_50,125,150,0.8,38,25.3,18.7,32
Phoneme_50,125,150,0.8,39,26,19.3,33.3
Phoneme_50,125,150,0.8,40,26.7,20,34
Phoneme_50,125,150,0.8,41,27.3,20.7,34.7
Phoneme_50,125,150,0.8,42,28,21.3,35.3
Phoneme_50,125,150,0.8,43,28.7,22,36
Phoneme_50,125,150,0.8,44,29.3,22.7,36.7
Phoneme_50,125,150,0.8,45,30,23.3,37.3
Phoneme_50,125,150,0.8,46,30.7,24,38
Phoneme_50,125,150,0.8,47,31.3,24.7,38.7
Phoneme_50,125,150,0.8,48,32,25.3,39.3
Phoneme_50,125,150,0.8,49,32.7,26,40
Phoneme_50,125,150,0.8,50,33.3,26,40.7
Phoneme_50,125,150,0.8,51,34,26.7,41.3
Phoneme_50,125,150,0.8,52,34.7,27.3,42
Phoneme_50,125,150,0.8,53,35.3,28,42.7
Phoneme_50,125,150,0.8,54,36,28.7,43.3
Phoneme_50,125,150,0.8,55,36.7,29.3,44
Phoneme_50,125,150,0.8,56,37.3,30,44.7
Phoneme_50,125,150,0.8,57,38,30.7,45.3
Phoneme_50,125,150,0.8,58,38.7,31.3,46
Phoneme_50,125,150,0.8,59,39.3,32,47.3
Phoneme_50,125,150,0.8,60,40,32.7,48
Phoneme_50,125,150,0.8,61,40.7,33.3,48.7
Phoneme_50,125,150,0.8,62,41.3,34,49.3
Phoneme_50,125,150,0.8,63,42,34.7,50
Phoneme_50,125,150,0.8,64,42.7,35.3,50.7
Phoneme_50,125,150,0.8,65,43.3,36,51.3
Phoneme_50,125,150,0.8,66,44,36.7,52
Phoneme_50,125,150,0.8,67,44.7,37.3,52.7
Phoneme_50,125,150,0.8,68,45.3,38,53.3
Phoneme_50,125,150,0.8,69,46,38.7,54
Phoneme_50,125,150,0.8,70,46.7,39.3,54.7
Phoneme_50,125,150,0.8,71,47.3,39.3,55.3
Phoneme_50,125,150,0.8,72,48,40,56
Phoneme_50,125,150,0.8,73,48.7,40.7,56.7
Phoneme_50,125,150,0.8,74,49.3,41.3,57.3
Phoneme_50,125,150,0.8,75,50,42,58
Phoneme_50,125,150,0.8,76,50.7,42.7,58.7
Phoneme_50,125,150,0.8,77,51.3,43.3,59.3
Phoneme_50,125,150,0.8,78,52,44,59.3
Phoneme_50,125,150,0.8,79,52.7,44.7,60.7
Phoneme_50,125,150,0.8,80,53.3,45.3,60.7
Phoneme_50,125,150,0.8,81,54,46,61.3
Phoneme_50,125,150,0.8,82,54.7,46.7,62
Phoneme_50,125,150,0.8,83,55.3,47.3,62.7
Phoneme_50,125,150,0.8,84,56,48,63.3
Phoneme_50,125,150,0.8,85,56.7,48.7,64
Phoneme_50,125,150,0.8,86,57.3,49.3,64.7
Phoneme_50,125,150,0.8,87,58,50,65.3
Phoneme_50,125,150,0.8,88,58.7,50.7,66
Phoneme_50,125,150,0.8,89,59.3,51.3,66.7
Phoneme_50,125,150,0.8,90,60,52.7,67.3
Phoneme_50,125,150,0.8,91,60.7,52.7,68
Phoneme_50,125,150,0.8,92,61.3,54,68.7
Phoneme_50,125,150,0.8,93,62,54.7,69.3
Phoneme_50,125,150,0.8,94,62.7,55.3,70
Phoneme_50,125,150,0.8,95,63.3,56,70.7
Phoneme_50,125,150,0.8,96,64,56.7,71.3
Phoneme_50,125,150,0.8,97,64.7,57.3,72
Phoneme_50,125,150,0.8,98,65.3,58,72.7
Phoneme_50,125,150,0.8,99,66,58.7,73.3
Phoneme_50,125,150,0.8,100,66.7,59.3,74
Phoneme_50,125,150,0.8,101,67.3,60,74
Phoneme_50,125,150,0.8,102,68,60.7,74.7
Phoneme_50,125,150,0.8,103,68.7,61.3,75.3
Phoneme_50,125,150,0.8,104,69.3,62,76
Phoneme_50,125,150,0.8,105,70,62.7,76.7
Phoneme_50,125,150,0.8,106,70.7,63.3,77.3
Phoneme_50,125,150,0.8,107,71.3,64,78
Phoneme_50,125,150,0.8,108,72,64.7,78.7
Phoneme_50,125,150,0.8,109,72.7,65.3,79.3
Phoneme_50,125,150,0.8,110,73.3,66,80
Phoneme_50,125,150,0.8,111,74,66.7,80.7
Phoneme_50,125,150,0.8,112,74.7,68,81.3
Phoneme_50,125,150,0.8,113,75.3,68.7,81.3
Phoneme_50,125,150,0.8,114,76,69.3,82
Phoneme_50,125,150,0.8,115,76.7,70,82.7
Phoneme_50,125,150,0.8,116,77.3,70.7,83.3
Phoneme_50,125,150,0.8,117,78,71.3,84
Phoneme_50,125,150,0.8,118,78.7,72,84.7
Phoneme_50,125,150,0.8,119,79.3,72.7,85.3
Phoneme_50,125,150,0.8,120,80,73.3,86
Phoneme_50,125,150,0.8,121,80.7,74,86
Phoneme_50,125,150,0.8,122,81.3,74.7,86.7
Phoneme_50,125,150,0.8,123,82,76,87.3
Phoneme_50,125,150,0.8,124,82.7,76.7,88
Phoneme_50,125,150,0.8,125,83.3,77.3,88.7
Phoneme_50,125,150,0.8,126,84,78,89.3
Phoneme_50,125,150,0.8,127,84.7,78.7,90
Phoneme_50,125,150,0.8,128,85.3,79.3,90
Phoneme_50,125,150,0.8,129,86,80,90.7
Phoneme_50,125,150,0.8,130,86.7,81.3,91.3
Phoneme_50,125,150,0.8,131,87.3,82,92
Phoneme_50,125,150,0.8,132,88,82.7,92.7
Phoneme_50,125,150,0.8,133,88.7,83.3,92.7
Phoneme_50,125,150,0.8,134,89.3,84,93.3
Phoneme_50,125,150,0.8,135,90,84.7,94
Phoneme_50,125,150,0.8,136,90.7,86,94.7
Phoneme_50,125,150,0.8,137,91.3,86.7,95.3
Phoneme_50,125,150,0.8,138,92,87.3,95.3
Phoneme_50,125,150,0.8,139,92.7,88,96
Phoneme_50,125,150,0.8,140,93.3,89.3,96.7
Phoneme_50,125,150,0.8,141,94,90,96.7
Phoneme_50,125,150,0.8,142,94.7,90.7,97.3
Phoneme_50,125,150,0.8,143,95.3,91.3,98
Phoneme_50,125,150,0.8,144,96,92.7,98
Phoneme_50,125,150,0.8,145,96.7,93.3,98.7
Phoneme_50,125,150,0.8,146,97.3,94.7,99.3
Phoneme_50,125,150,0.8,147,98,95.3,99.3
Phoneme_50,125,150,0.8,148,98.7,96.7,99.3
Phoneme_50,125,150,0.8,149,99.3,97.3,100
Phoneme_50,125,150,0.8,150,100,99.3,100
